,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
2861,,,jono hawkins,,,,n,EN5994,an,no,inclusive
2862,,,pimps,,,,n,EN3755,cds,no,conservative
2863,,,derelict,,,,n,EN1707,cds,no,conservative
2864,,,crocodile,,,,n,EN2696,an,no,inclusive
2865,,,sonamabitch,,,,n,EN1936,an,no,conservative
2866,,,bigget,,,,n,EN1062,svp,no,conservative
2867,,,egregiosities,,,,n,EN5693,dmc,yes,inclusive
2868,,,doltishly,,,,av,EN501,an,no,conservative
2869,,,phallos,,,,n,EN7734,asm,no,inclusive
2870,,,cimicidae,,,,n,EN2605,an,no,inclusive
2871,,,laziness,,,,n,EN10,svp,no,conservative
2872,,,rubbish,,,,n,EN338,ddp,yes,conservative
2873,,,doggies,,,,n,EN2089,an,no,inclusive
2874,,,queerio,,,,n,EN2445,om,no,conservative
2875,,,teste,,,,n,EN690,asm,no,inclusive
2876,,,shammer,,,,n,EN4982,dmc,yes,conservative
2877,,,moiders,,,,n,EN6430,re,no,inclusive
2878,,,religism,,,,n,EN6893,cds,no,inclusive
2879,,,ixodides,,,,n,EN6408,an,no,inclusive
2880,,,sea scorpion,,,,n,EN3670,an,no,inclusive
2881,,,sexual offences,,,,n,EN7615,re,no,inclusive
2882,,,prevaricates,,,,n,EN5030,cds,no,inclusive
2883,,,paraphilia related disorders,,,,n,EN6223,cds,no,conservative
2884,,,trencher,,,,n,EN3379,svp,no,conservative
2885,,,ectoparasites,,,,n,EN5658,qas,no,inclusive
2886,,,full members,,,,n,EN140,pa,yes,inclusive
2887,,,amoralizes,,,,n,EN3613,dmc,yes,inclusive
2888,,,dunderheaded,,,,n,EN1908,ddp,yes,inclusive
2889,,,pimpin,,,,n,EN3753,cds,no,inclusive
2890,,,hyper sexualism,,,,n,EN6252,cds,no,conservative
2891,,,plant breeder,,,,n,EN2775,cds,no,inclusive
2892,,,grande horizontale,,,,n,EN2952,pr,no,inclusive
2893,,,%e2%80%99ndrangheta,,,,n,EN7895,cds,no,inclusive
2894,,,enviers,,,,n,EN5183,svp,no,inclusive
2895,,,new rich,,,,n,EN6611,cds,no,inclusive
2896,,,peeress,,,,n,EN4979,om,no,inclusive
2897,,,theives,,,,n,EN4373,re,no,inclusive
2898,,,tribes,,,,n,EN2135,cds,no,inclusive
2899,,,fbomb,,,,n,EN2337,asm,no,conservative
2900,,,rostralward,,,,n,EN3233,om,no,inclusive
2901,,,grossness,,,,n,EN2191,an,no,conservative
2902,,,blunder,,,,n,EN1388,cds,no,inclusive
2903,,,avialian,,,,n,EN7878,asm,no,inclusive
